arg1,arg2,verb,sentence,verb_idx,label
country,,swallow,The Nazis swallowed the Baltic countries .,2,1
wave,,swallow,The huge waves swallowed the small boat and it sank shortly thereafter .,3,1
word,,swallow,She swallowed the last words of her speech .,1,1
word,,swallow,He swallowed his words .,1,1
anger,,swallow,I swallowed my anger and kept quiet .,1,1
story,,swallow,Am I supposed to swallow that story ?,4,1
music,,swell,The music swelled to a crescendo .,2,1
mother,,swell,The mother was swelling with importance when she spoke of her son .,3,1
belly,,swell,The bellies of the starving children are swelling .,7,0
wood,,swell,The water swells the wood .,2,0
brain,,swim,my brain is swimming after the bottle of champagne .,3,1
meat,,swim,the meat was swimming in a fatty gravy .,3,1
snake,,swim,this snake swims through the soil where it lives .,2,0
notice,,tack,tack the notice on the board .,0,0
boat,,tack,The sailors decided to tack the boat .,4,0
verse,,tack,He tacked together some verses .,1,1
action,,talk,Actions talk louder than words .,1,1
baby,,talk,The baby talks already .,2,0
garlic,,taste,Can you taste the garlic ?,2,0
wine,,taste,We tasted wines last night .,1,0
freedom,,taste,The ex - slave tasted freedom shortly before she died .,4,1
state,,tax,The State taxes alcohol heavily .,2,0
patience,,tax,You are taxing my patience .,2,1
failure,,tax,They taxed him failure to appear in court .,1,1
muscle,,tense,the bodybuilder 's neck muscles tensed .,5,0
bus,,thunder,The bus thundered down the road .,2,1
river,,thunder,The river thundered below .,2,1
victim,,tie,They tied their victim to the chair .,1,0
jet,,tie,These big jets are tied to large airports .,4,1
fly,,tie,The fishermen tied their flies .,2,0
dinner,,top,They topped off their dinner with a cognac .,1,1
tree,,top,A star tops the Christmas Tree .,2,0
tower,,top,The towers were topped with conical roofs .,3,0
hiker,,top,The hikers topped the mountain just before noon .,2,1
outline,,trace,trace the outline of a figure in the sand .,0,0
deer,,trace,The hunters traced the deer into the woods .,2,0
circumstance,,trace,She traced the circumstances of her birth .,1,1
experience,,transform,This experience transformed her completely .,2,1
energy,,transform,It can transform energy to light .,2,0
grape,,tread,tread grapes to make wine .,0,0
bird,,tread,male birds tread the females .,2,0
camp,,trench,He trenched his military camp .,1,0
letter,,trench,letters trenched into the stone .,1,0
soldier,,trench,trench the fallen soldiers .,0,0
chain,,tug,The prisoner tugged at the chains .,2,0
living,,tug,She tugged for years to make a decent living .,1,1
freighter,,tug,The tugboat tugged the freighter into the harbor .,2,0
cart,,tug,The horse finally tugged the cart out of the mud .,3,0
shoulder,,twist,The wrestler twisted his shoulder .,2,0
cord,,twist,The cord is all twisted .,4,0
word,,twist,Do n't twist my words .,2,1
people,,uproot,The war uprooted many people .,2,1
democracy,,uproot,The vestiges of political democracy were soon uprooted .,7,1
vine,,uproot,They plan to uproot the vine that has spread all over the garden .,3,0
fortune,,vest,She vested her vast fortune in her two sons .,1,0
property,,vest,The property vests in the trustees .,2,0
paris,,visit,Did you ever visit Paris ? .,3,0
rage,,visit,The principal visited his rage on the students .,2,1
relative,,visit," Every summer , we visited our relatives in the country for a month .",4,0
illness,,visit," Every summer , we visited our relatives in the country for a month .",4,1
ball,,volley,They began to volley the tennis ball .,3,0
curse,,volley,I heard him volley a string of curses .,3,1
pig,,wallow,pigs were wallowing in the mud .,2,0
success,,wallow,wallow in your success !,0,1
yellow,,wear,She was wearing yellow that day .,2,0
smile,,wear,He always wears a smile .,2,1
hair,,wear,wear one 's hair in a certain way .,0,0
bullet,,whistle,The bullets whistled past him .,2,1
melody,,whistle,She whistled a melody .,1,0
optimism,,whistle,Her optimism whistled away these worries .,2,1
feeling,,wrestle,He wrestled all his life with his feeling of inferiority .,1,1
decision,,wrestle,I wrestled with this decision for years .,1,1
child,,wrestle,The children wrestled in the garden .,2,0
person,,bow,He bowed before the King .,1,0
person,,breathe,I can breathe better when the air is clean .,2,0
wine,,breathe,This rare Bordeaux must be allowed to breathe for at least 2 hours .,7,0
drawing,,color,The child colored the drawings .,2,0
judgement,,color,My personal feelings color my judgment in this case .,3,1
people,,communicate,He and his sons have n't communicated for years .,6,0
dictionary,,computerize,Please use a computerized disctionary .,3,0
feeling,,condense,Her feelings condensed .,2,1
person,,drain,The exercise class drains me of energy .,3,1
employee,,dump,The company dumped him after many years of service .,2,1
cup,,engrave,engraved the trophy cupt with the winner 's .,0,0
people,,erase,The Turks erased the Armenians in 1915 .,2,1
volcano,,erupt,Vesuvius erupts once in a while .,1,0
society,,ferment,Islam is fermenting Africa .,2,1
lens,,grind,grind lenses for glasses and cameras .,0,0
theatre,,jam,the theater was jampacked .,3,1
woman,,lean,She leaned over the banister .,1,0
man,,lighten," after a glass of wine , he lightened up a bit .",7,1
person,,lock,They were locked in embrace .,2,1
man,,march,He marched into the classroom and announced the exam .,1,0
feeling,,palpitate,His heart palpitated .,2,1
man,,peep,He peeped at the woman through the window .,1,0
painter,,portray," Goya wanted to portray his mistress , the Duchess of Alba .",3,0
finding,,preserve,We preserve these archeological findings .,1,0
ocean,,sail,We sailed the Atlantic .,1,0
woman,,sing,She was singing while she was cooking .,2,0
person,,stamp,stamp fruit extract the juice .,0,1
man,,swim,We had to swim for 20 minutes to reach the shore .,3,0
woman,,talk,She talks a lot of nonsense .,1,0
person,,transform,He transformed into a monster .,1,1
shot,,volley,Gun shots volleyed at the attackers .,2,0
woman,,whistle,She whistled for her maid .,1,0
,,," Music is filled with a vast range of instruments and vocal techniques ranging from singing to rapping; there are solely instrumental pieces, solely vocal pieces (such as songs without instrumental accompaniment) and pieces that combine singing and instruments",,1
,,," The word originated from Greek μουσική (mousike; ""(art) of the Muses"")",,1
,,,"In its most general form, the activities portraying music as an art form or cultural activity include the creation of works of music (songs, tunes, symphonies, and so on), the criticism of music, the study of the history of music, and the aesthetic examination of music",,1
,,," Ancient Greek and Indian philosophers conceived music in two parts: melodies, as tones ordered horizontally, and harmonies as tones ordered vertically",,1
,,," However, 20th-century composer John Cage theorized that any sound can be music, saying, for example, ""There is no noise, only sound",,1
,,," There are many types of music, namely popular music, traditional music, art music, music written for religious ceremonies, and work songs such as chanteys",,1
,,,g,,1
,,,", country music) and genres can be further divided into subgenres (e",,1
,,,g,,1
,,," Music may be played or sung and enjoyed live at a rock concert or orchestra performance, heard live as part of a dramatic work (a music theater show or opera), or it may be recorded and listened to on a radio, MP3 player, CD player, smartphone or as film score or TV show",,1
,,,g,,1
,,,", graduation and marriage), social activities (e",,1
,,,g,,1
,,,", dancing) and cultural activities shifting from amateur karaoke singing to playing in an amateur funk band or singing in a community choir",,1
,,," People may embrace music as a hobby, like a teen playing cello in a youth orchestra, or work as a professional musician or singer",,1
,,," The music industry includes the individuals who craft new songs and musical pieces (such as songwriters and composers), individuals who perform music (which include orchestra, jazz band and rock band musicians, singers and conductors), 
individuals who record music (music producers and sound engineers), individuals who organize concert tours, and individuals who sell recordings, sheet music, and scores to customers",,1
,,,"\nMusic may also refer to:', 'Classical music is art music produced or absorbed in the traditions of Western culture, generally considered to have begun in Europe after the fall of the Western Roman Empire in the late 5th century CE and continuing to present day",,1
,,," The major periods involved the medieval (500–1400), Renaissance (1400–1600), Baroque (1600–1750), Classical (1750–1820), Romantic (1800–1910), Modernist (1890–1975) and Postmodern era/Contemporary (1950–present) eras",,1
,,," The earliest reference to ""classical music"" carried by the Oxford English Dictionary is from about 1829",,1
,,,Western staff notation is employed by composers to indicate to the performer the pitches and durations for a piece of music,,1
,,,It reflects both sacred (religious) and secular music,,1
,,,", 'Electronic music is music that blends electronic musical instruments, digital instruments, or circuitry-based music technology in its creation",,1
,,,It incorporates both music made using electronic and electromechanical means (electroacoustic music),,1
,,," Pure electronic instruments run entirely on circuitry-based sound generation, for instance using devices such as an electronic oscillator, theremin, or synthesizer",,1
,,," Electromechanical instruments can carry mechanical parts such as strings, hammers, and electric elements including magnetic pickups, power amplifiers and loudspeakers",,1
,,," Such electromechanical devices comprise the telharmonium, Hammond organ, electric piano and the electric guitar",,1
,,,The first electronic musical devices were created at the end of the 19th century,,1
,,," During the 1920s and 1930s, a number of electronic instruments were invented and the first compositions featuring them were written",,1
,,," By the 1940s, magnetic audio tape encouraged musicians to tape sounds and then modify them by changing the tape speed or direction, leading to the development of electroacoustic tape music in the 1940s, in Egypt and France",,1
,,," Musique concrète, revived in Paris in 1948, was based on editing together recorded fragments of natural and industrial sounds",,1
,,,Music drawn solely from electronic generators was first produced in Germany in 1953,,1
,,,Electronic music was also generated in Japan and the United States beginning in the 1950s and Algorithmic composition with computers was first demonstrated in the same decade,,1
,,," In the early 1970s, Moog synthesizers and Japanese drum machines helped shape synthesized electronic music",,1
,,," In the early 1980s mass produced digital synthesizers, such as the Yamaha DX7, grew popular and MIDI (Musical Instrument Digital Interface) was developed",,1
,,,", 'A music video is a short film or video, of variable length, that depicts a song or album with imagery that is produced for promotional or artistic purposes",,1
,,,Tie-ins and merchandising can be echanged for toys or for food or other products,,1
,,,"\nAlthough the origins of the music video date back to musical short films that first emerged in the 1920s, they again came into prominence in the 1980s when the channel MTV (originally ""Music Television"") based its format around the medium",,1
,,," Prior to the 1980s, these kinds of videos were characterized by various terms including ""illustrated song,"" ""filmed insert,""  ""promotional (promo) film,"" ""promotional clip,"" ""promotional video,"" ""song video,"" ""song clip,"" or ""film clip",,1
,,,"""\nMusic videos reflect a wide range of styles and contemporary video-making techniques, including animation, live-action, documentary, and non-narrative approaches such as abstract film",,1
,,," Some music videos fuse different styles with music, such as animation and live-action",,1
,,,"  Other music videos may not convey any concept, being only a filmed version of the song\'s live concert performance",,1
,,,Some types of folk music may be found world music,,1
,,,It has been restored with commercial and classical styles,,1
,,," This type of folk music also blends fusion genres such as folk rock, folk metal, and others",,1
,,," While contemporary folk music reflects a genre generally distinct from traditional folk music, in U",,1
,,,S,,1
,,," English it shares the same name, and it often attracts the same performers and venues as traditional folk music",,1
,,,"Music can be broken into genres in varying ways, such as popular music and art music, or religious music and secular music",,1
,,,"Dance is performed with a vast range of instruments and vocal techniques ranging from singing to rapping; there are solely instrumental pieces, solely vocal pieces (such as songs without instrumental accompaniment) and pieces that combine singing and instruments",,1
,,," The term derives from Greek μουσική (mousike; ""(art) of the Muses"")",,1
,,,"In its most general form, the terminologies describing music as an art form or cultural activity include the creation of works of music (songs, tunes, symphonies, and so on), the criticism of music, the study of the history of music, and the aesthetic examination of music",,1
,,," Ancient Greek and Indian authors defined music in two parts: melodies, as tones ordered horizontally, and harmonies as tones ordered vertically",,1
,,," However, 20th-century artist John Cage thought that any sound can be music, saying, for example, ""There is no noise, only sound",,1
,,," There are many types of art, including popular music, traditional music, art music, music written for religious ceremonies, and work songs such as chanteys",,1
,,,g,,1
,,,", country music) and genres can be further divided into subgenres (e",,1
,,,g,,1
,,," Music may be played or sung and heard live at a rock show or orchestra performance, heard live as part of a dramatic work (a music theater show or opera), or it may be recorded and listened to on a radio, MP3 player, CD player, smartphone or as film score or TV show",,1
,,,g,,1
,,,", graduation and marriage), social activities (e",,1
,,,g,,1
,,,", dancing) and cultural expressions ranging from amateur karaoke singing to playing in an amateur funk band or singing in a community choir",,1
,,," People may make music as a hobby, like a child playing cello in a youth orchestra, or work as a professional musician or singer",,1
,,," The music department includes the individuals who create new songs and musical pieces (such as songwriters and composers), individuals who perform music (which include orchestra, jazz band and rock band musicians, singers and conductors), 
individuals who record music (music producers and sound engineers), individuals who organize concert tours, and individuals who sell recordings, sheet music, and scores to customers",,1
,,,"\nMusic may also refer to:', 'Classical music is art music produced or rooted in the heritages of Western culture, generally considered to have begun in Europe after the fall of the Western Roman Empire in the late 5th century CE and continuing to present day",,1
,,," The major eras are the medieval (500–1400), Renaissance (1400–1600), Baroque (1600–1750), Classical (1750–1820), Romantic (1800–1910), Modernist (1890–1975) and Postmodern era/Contemporary (1950–present) eras",,1
,,," The earliest connection to ""classical music"" recorded by the Oxford English Dictionary is from about 1829",,1
,,,Western staff language is used by composers to indicate to the performer the pitches and durations for a piece of music,,1
,,,It includes both sacred (religious) and secular material,,1
,,,", 'Electronic music is music that employs electronic musical instruments, digital techniques, or circuitry-based music technology in its creation",,1
,,,It includes both music made using electronic and electromechanical means (electroacoustic music),,1
,,," Pure electronic instruments depended entirely on technology-based sound generation, for instance using devices such as an electronic oscillator, theremin, or synthesizer",,1
,,," Electromechanical instruments can have mechanical features such as strings, hammers, and electric elements including magnetic pickups, power amplifiers and loudspeakers",,1
,,," Such electromechanical resources include the telharmonium, Hammond organ, electric piano and the electric guitar",,1
,,,The first electronic musical systems were developed at the end of the 19th century,,1
,,," During the 1920s and 1930s, a variety of electronic instruments were introduced and the first compositions featuring them were written",,1
,,," By the 1940s, magnetic audio device allowed musicians to tape sounds and then modify them by changing the tape speed or direction, leading to the development of electroacoustic tape music in the 1940s, in Egypt and France",,1
,,," Commission concrète, created in Paris in 1948, was based on editing together recorded fragments of natural and industrial sounds",,1
,,,Music produced solely from electronic materials was first produced in Germany in 1953,,1
,,,Electronic music was also created in Japan and the United States beginning in the 1950s and Algorithmic composition with computers was first demonstrated in the same decade,,1
,,," In the early 1970s, Moog machines and Japanese drum machines helped popularize synthesized electronic music",,1
,,," In the early 1980s mass produced digital tools, such as the Yamaha DX7, became popular and MIDI (Musical Instrument Digital Interface) was developed",,1
,,,", 'A music video is a short film or video, of variable length, that integrates a song or album with pictures that is produced for promotional or artistic purposes",,1
,,,Tie-ins and symbols can be used for toys or for food or other products,,1
,,,"\nAlthough the origins of the music video date back to musical short pieces that first appeared in the 1920s, they again came into prominence in the 1980s when the channel MTV (originally ""Music Television"") based its format around the medium",,1
,,," Prior to the 1980s, these kinds of videos were described by various sources including ""illustrated song,"" ""filmed insert,""  ""promotional (promo) film,"" ""promotional clip,"" ""promotional video,"" ""song video,"" ""song clip,"" or ""film clip",,1
,,,"""\nMusic videos use a wide spectrum of styles and contemporary video-making techniques, including animation, live-action, documentary, and non-narrative approaches such as abstract film",,1
,,," Some music videos combine different styles with music, such as commercials and live-action",,1
,,,"  Other music videos may not have any meaning, being only a filmed version of the song\'s live concert performance",,1
,,,Some types of folk composition may be called world music,,1
,,,It has been contrasted with commercial and classical versions,,1
,,," This type of folk music also includes fusion influences such as folk rock, folk metal, and others",,1
,,," While contemporary folk art is a genre generally distinct from traditional folk music, in U",,1
,,,S,,1
,,," English it shares the same name, and it often shares the same musicians and venues as traditional folk music",,1
,,,"Music can be divided into categories in varying ways, such as popular music and art music, or religious music and secular music",,1
,,,"['Technology (""science of craft"", from Greek τέχνη, techne, ""art, skill, cunning of hand""; and -λογία, -logia) is the sum of techniques, skills, methods, and processes involved in the production of goods or services or in the accomplishment of objectives, such as scientific investigation",,1
,,,Systems (e,,1
,,,g,,1
,,," machines) generating technology by taking an input, changing it according to the system\'s use, and then producing an outcome are referred to as technology systems or technological systems",,1
,,,The prehistoric invention of shaped stone tools inspired by the discovery of how to control fire increased sources of food,,1
,,,The invention of the wheel encouraged humans to travel in and control their environment,,1
,,,", 'Seagate Technology Holdings plc, an Irish public limited company (commonly shortened to as Seagate), is an American data storage company",,1
,,,It was established in 1978 as Shugart Technology and commenced business in 1979,,1
,,," Since 2010, the company has been located in Dublin, Ireland, with operational headquarters in Fremont, California, United States",,1
,,,", 'A technology company (or tech company) is an electronics-based technology company, concentrating, for example, business relating to digital electronics, software, and internet-related services, such as e-commerce services",,1
,,,", 'An institute of technology (also referred to as: technological university, technical university, university of technology, technological educational institute, technical college, polytechnic university or just polytechnic) is an institution 
of tertiary education (such as a university or college) that engages in engineering, technology, applied science, and natural sciences",,1
,,," The term technology originates from the Greek word techne, meaning art and craft, and the word logos, meaning word and speech",,1
,,,""", 'Information technology (IT) involves the use of computers to create, process, store and exchange all kinds of electronic data and information",,1
,,,IT is typically used within the context of business operations as compared to personal or entertainment technologies,,1
,,,IT is believed to be a subset of information and communications technology (ICT),,1
,,," An information technology system (IT system) is generally an information system, a communications system, or, more specifically computing, a computer system – including all hardware, software, and peripheral equipment – operated by a limited group of IT users",,1
,,,"\nHumans have been creating, retrieving, manipulating, and communicating information since the Sumerians in Mesopotamia developed writing in about 3000 BC",,1
,,,Leavitt and Thomas L,,1
,,,We shall label it information technology (IT),,1
,,,"The term is commonly used as a synonym for computers and computer networks, but it also reflects other information distribution technologies such as television and telephones",,1
,,,"Based on the storage and processing technologies developed, it is possible to distinguish four distinct phases of IT development: pre-mechanical (3000 BC – 1450 AD), mechanical (1450–1840), electromechanical (1840–1940), and electronic (1940–present)",,1
,,,This article centers on the most recent period (electronic),,1
,,," When pointed to with its abbreviation, EdTech, it is often referring to the industry of companies that create educational technology",,1
,,,", 'Massachusetts Institute of Technology (MIT) manages a private land-grant research university in Cambridge, Massachusetts",,1
,,,The institute has an urban campus that measures more than a mile (1,,1
,,,"6 km) alongside the Charles River, and runs a number of major off-campus facilities such as the MIT Lincoln Laboratory, the Bates Center, and the Haystack Observatory, as well as affiliated laboratories such as the Broad and Whitehead Institutes",,1
,,," \nAs of June 2021, 97 Nobel laureates, 26 Turing Award winners, and 8 Fields Medalists have been identified with MIT as alumni, faculty members, or researchers",,1
,,," In addition, 58 National Medal of Science recipients, 29 National Medals of Technology and Innovation recipients, 50 MacArthur Fellows, 80 Marshall Scholars, 3 Mitchell Scholars, 22 Schwarzman Scholars, 9 Knight-Hennessy Scholars,  41 astronauts, and 16 Chief Scientists of the U",,1
,,,S,,1
,,,Air Force have been connected with MIT,,1
,,,MIT became a member of the Association of American Universities (AAU),,1
,,,", 'Gigabyte Technology (translated as GIGABYTE or sometimes GIGA-BYTE; formally GIGA-BYTE Technology Co",,1
,,,", Ltd",,1
,,,) denotes a Taiwanese manufacturer and distributor of computer hardware,,1
,,,\nGigabyte\'s principal business is motherboards,,1
,,,It shipped 4,,1
,,,"8 million motherboards in the first quarter of 2015, which pushed it to become the leading motherboard vendor",,1
,,," Gigabyte also builds custom graphics cards and laptop computers (including thin and light laptops under its ""Aero"" sub-brand)",,1
,,," In 2010, Gigabyte was placed 17th in ""Taiwan\'s Top 20 Global Brands"" by the Taiwan External Trade Development Council",,1
,,,"The company is publicly held and registered on the Taiwan Stock Exchange, stock ID number TWSE: 2376",,1
,,,", 'The Indian Institutes of Technology (IITs) are autonomous public technical universities running across India",,1
,,," The Institutes of Technology Act, 1961 created twenty-three institutes",,1
,,,The Minister of Education summoned the ex officio Chairperson of the IIT Council,,1
,,," As of 2020, the total number of seats for undergraduate programs in all IITs surpassed 16,053",,1
,,,", 'Micron Technology, Inc",,1
,,," is an American producer of computer memory and computer data storage utilizing dynamic random-access memory, flash memory, and USB flash drives",,1
,,," It remains headquartered in Boise, Idaho",,1
,,,Its consumer products are directed under the brands Crucial  and Ballistix,,1
,,," Micron and Intel together developed IM Flash Technologies, which produces NAND flash memory",,1
,,,It bought Lexar between 2006 and 2017,,1
,,,"many North American Indian tribes, but especially those of the',",,1
,,,"Ojibway Indians of northern Michigan, Wisconsin, and Minnesota.',",,1
,,,"They were collected by Henry Rowe Schoolcraft, the reknowned',",,1
,,,"Schoolcraft married Jane, O-bah-bahm-wawa-ge-zhe-go-qua (The',",,1
,,,"fur trader, and O-shau-gus-coday-way-qua (The Woman of the Green',",,1
,,,"Prairie), who was a daughter of Waub-o-jeeg (The White Fisher),',",,1
,,,"who was Chief of the Ojibway tribe at La Pointe, Wisconsin.',",,1
,,,"Jane and her mother are credited with having researched,',",,1
,,,"authenticated, and compiled much of the material Schoolcraft',",,1
,,,"included in his Algic Researches (1839) and a revision published',",,1
,,,"that Longfellow used as the basis for The Song of Hiawatha.',",,1
,,,"Longfellow began Hiawatha on June 25, 1854, he completed it',",,1
,,,"Finnish epic poem Kalevala.  Longfellow made no secret of the',",,1
,,,"fact that he had used the meter of the Kalevala; but as for the',",,1
,,,"I would add a personal note here.  My father's roots include',",,1
,,,"Ojibway Indians: his mother, Margaret Caroline Davenport, was a',",,1
,,,"daughter of Susan des Carreaux, O-gee-em-a-qua (The Chief Woman),',",,1
,,,"Finally, my mother used to rock me to sleep reading portions of',",,1
,,,"Hiawatha to me, especially:',",,1
,,,"""Wah-wah-taysee, little fire-fly,',",,1
,,,"Little, flitting, white-fire insect',",,1
,,,"Little, dancing, white-fire creature,',",,1
,,,"Light me with your little candle,',",,1
,,,"Ere upon my bed I lay me,',",,1
,,,"Ere in sleep I close my eyelids!""',",,1
,,,"Should you ask me, whence these stories?',",,1
,,,"Whence these legends and traditions,',",,1
,,,"With the odors of the forest',",,1
,,,"With the dew and damp of meadows,',",,1
,,,"With the curling smoke of wigwams,',",,1
,,,"With the rushing of great rivers,',",,1
,,,"With their frequent repetitions,',",,1
,,,"As of thunder in the mountains?',",,1
,,,"I should answer, I should tell you,',",,1
,,,"""From the forests and the prairies,',",,1
,,,"From the great lakes of the Northland,',",,1
,,,"From the land of the Ojibways,',",,1
,,,"From the land of the Dacotahs,',",,1
,,,"From the mountains, moors, and fen-lands',",,1
,,,"Where the heron, the Shuh-shuh-gah,',",,1
,,,"Feeds among the reeds and rushes.',",,1
,,,"I repeat them as I heard them',",,1
,,,"From the lips of Nawadaha,',",,1
,,,"The musician, the sweet singer.""',",,1
,,,"Should you ask where Nawadaha',",,1
,,,"Found these legends and traditions,',",,1
,,,"I should answer, I should tell you,',",,1
,,,"""In the bird's-nests of the forest,',",,1
,,,"In the lodges of the beaver,',",,1
,,,"In the hoofprint of the bison,',",,1
,,,"In the eyry of the eagle!',",,1
,,,"""All the wild-fowl sang them to him,',",,1
,,,"In the moorlands and the fen-lands,',",,1
,,,"In the melancholy marshes;',",,1
,,,"Chetowaik, the plover, sang them,',",,1
,,,"Mahng, the loon, the wild-goose, Wawa,',",,1
,,,"The blue heron, the Shuh-shuh-gah,',",,1
,,,"And the grouse, the Mushkodasa!""',",,1
,,,"If still further you should ask me,',",,1
,,,"Tell us of this Nawadaha,""',",,1
,,,"I should answer your inquiries',",,1
,,,"""In the vale of Tawasentha,',",,1
,,,"In the green and silent valley,',",,1
,,,"By the pleasant water-courses,',",,1
,,,"Dwelt the singer Nawadaha.',",,1
,,,"Round about the Indian village',",,1
,,,"Spread the meadows and the corn-fields,',",,1
,,,"And beyond them stood the forest,',",,1
,,,"Stood the groves of singing pine-trees,',",,1
,,,"Green in Summer, white in Winter,',",,1
,,,"Ever sighing, ever singing.',",,1
,,,"""And the pleasant water-courses,',",,1
,,,"You could trace them through the valley,',",,1
,,,"By the alders in the Summer,',",,1
,,,"By the white fog in the Autumn,',",,1
,,,"By the black line in the Winter;',",,1
,,,"And beside them dwelt the singer,',",,1
,,,"In the vale of Tawasentha,',",,1
,,,"In the green and silent valley.',",,1
,,,"""There he sang of Hiawatha,',",,1
,,,"How he prayed and how be fasted,',",,1
,,,"How he lived, and toiled, and suffered,',",,1
,,,"Ye who love the haunts of Nature,',",,1
,,,"Love the sunshine of the meadow,',",,1
,,,"Love the shadow of the forest,',",,1
,,,"Love the wind among the branches,',",,1
,,,"And the rain-shower and the snow-storm,',",,1
,,,"And the rushing of great rivers',",,1
,,,"Through their palisades of pine-trees,',",,0
,,,"And the thunder in the mountains,',",,0
,,,"Whose innumerable echoes',",,0
,,,"Flap like eagles in their eyries;--',",,0
,,,"Listen to these wild traditions,',",,0
,,,"To this Song of Hiawatha!',",,0
,,,"Love the ballads of a people,',",,0
,,,"That like voices from afar off',",,0
,,,"Call to us to pause and listen,',",,0
,,,"Speak in tones so plain and childlike,',",,0
,,,"Scarcely can the ear distinguish',",,0
,,,"Whether they are sung or spoken;--',",,0
,,,"Listen to this Indian Legend,',",,0
,,,"To this Song of Hiawatha!',",,0
,,,"Ye whose hearts are fresh and simple,',",,0
,,,"Who have faith in God and Nature,',",,0
,,,"Who believe that in all ages',",,0
,,,"Every human heart is human,',",,0
,,,"For the good they comprehend not,',",,0
,,,"That the feeble hands and helpless,',",,0
,,,"Groping blindly in the darkness,',",,0
,,,"Touch God's right hand in that darkness',",,0
,,,"And are lifted up and strengthened;--',",,0
,,,"Listen to this simple story,',",,0
,,,"To this Song of Hiawatha!',",,0
,,,"Ye, who sometimes, in your rambles',",,0
,,,"Through the green lanes of the country,',",,0
,,,"Where the tangled barberry-bushes',",,0
,,,"Hang their tufts of crimson berries',",,0
,,,"Over stone walls gray with mosses,',",,0
,,,"Pause by some neglected graveyard,',",,0
,,,"For a while to muse, and ponder',",,0
,,,"On a half-effaced inscription,',",,0
,,,"Written with little skill of song-craft,',",,0
,,,"Homely phrases, but each letter',",,0
,,,"Stay and read this rude inscription,',",,0
,,,"Read this Song of Hiawatha!',",,0
,,,"On the great Red Pipe-stone Quarry,',",,0
,,,"Gitche Manito, the mighty,',",,0
,,,"He the Master of Life, descending,',",,0
,,,"On the red crags of the quarry',",,0
,,,"Stood erect, and called the nations,',",,0
,,,"Called the tribes of men together.',",,0
,,,"From his footprints flowed a river,',",,0
,,,"Gleamed like Ishkoodah, the comet.',",,0
,,,"And the Spirit, stooping earthward,',",,0
,,,"With his finger on the meadow',",,0
,,,"Traced a winding pathway for it,',",,0
,,,"Saying to it, ""Run in this way!""',",,0
,,,"From the red stone of the quarry',",,0
,,,"With his hand he broke a fragment,',",,0
,,,"Moulded it into a pipe-head,',",,0
,,,"Shaped and fashioned it with figures;',",,0
,,,"From the margin of the river',",,0
,,,"Took a long reed for a pipe-stem,',",,0
,,,"With its dark green leaves upon it;',",,0
,,,"Filled the pipe with bark of willow,',",,0
,,,"With the bark of the red willow;',",,0
,,,"Breathed upon the neighboring forest,',",,0
,,,"Made its great boughs chafe together,',",,0
,,,"Till in flame they burst and kindled;',",,0
,,,"And erect upon the mountains,',",,0
,,,"Gitche Manito, the mighty,',",,0
,,,"Smoked the calumet, the Peace-Pipe,',",,0
,,,"And the smoke rose slowly, slowly,',",,0
,,,"Through the tranquil air of morning,',",,0
,,,"First a single line of darkness,',",,0
,,,"Then a denser, bluer vapor,',",,0
,,,"Then a snow-white cloud unfolding,',",,0
,,,"Like the tree-tops of the forest,',",,0
,,,"Ever rising, rising, rising,',",,0
,,,"Till it touched the top of heaven,',",,0
,,,"Till it broke against the heaven,',",,0
,,,"And rolled outward all around it.',",,0
,,,"From the groves of Tuscaloosa,',",,0
,,,"From the far-off Rocky Mountains,',",,0
,,,"From the Northern lakes and rivers',",,0
,,,"All the tribes beheld the signal,',",,0
,,,"Saw the distant smoke ascending,',",,0
,,,"And the Prophets of the nations',",,0
,,,"By the signal of the Peace-Pipe,',",,0
,,,"Bending like a wand of willow,',",,0
,,,"Waving like a hand that beckons,',",,0
,,,"Gitche Manito, the mighty,',",,0
,,,"Calls the tribes of men together,',",,0
,,,"Calls the warriors to his council!""',",,0
,,,"Down the rivers, o'er the prairies,',",,0
,,,"Came the warriors of the nations,',",,0
,,,"All the warriors drawn together',",,0
,,,"By the signal of the Peace-Pipe,',",,0
,,,"To the great Red Pipe-stone Quarry,',",,0
,,,"And they stood there on the meadow,',",,0
,,,Other characteristics are a call and response between the lead vocalist and the chorus and an especially tense vocal sound,,0
,,,S,,0
,,," R&B chart in the 1960s, and many recordings crossed over into the pop charts in the U",,0
,,,S,,0
,,,", Britain and elsewhere",,0
,,," Owned by the Japanese conglomerate Sony Group Corporation, it is part of the Sony Music Group, which is owned by Sony Corporation of America",,0
,,,"\nIt was originally founded in 1929 as American Record Corporation and renamed as Columbia Recording Corporation in 1938, following its acquisition by the Columbia Broadcasting System",,0
,,," All of BMG\'s former labels (Arista, Jive, LaFace, J, etc",,0
,,,) would eventually be absorbed into RCA Records (also formely owned by BMG) in 2011,,0
,,," The merger was completed on August 1, 2019",,0
,,,"\nCountry music often consists of ballads and dance tunes with generally simple forms, folk lyrics, and harmonies often accompanied by string instruments such as banjos, electric and acoustic guitars, steel guitars (such as pedal steels and dobros), and fiddles as well as harmonicas",,0
,,," It catalogs more than three million album entries and 30 million tracks, as well as information on musicians and bands",,0
,,," Initiated in 1991, the database was first made available on the Internet in 1994",,0
,,,AllMusic is owned by RhythmOne,,0
